percent-grammar-1,logistic?,alpha,gamma,mean_state,nodes _09
55,false,0.04,0.04,0.770962261059499,0.39
55,false,0.04,0.04,0.7752738243359404,0.42
55,false,0.04,0.04,0.7682305021067968,0.42
55,false,0.04,0.04,0.7685377020279452,0.45
55,false,0.04,0.04,0.7599472206812489,0.41
55,false,0.04,0.04,0.7800180042179601,0.43
55,false,0.04,0.04,0.7729472769658924,0.42
55,false,0.04,0.04,0.7740724645838805,0.39
55,false,0.04,0.04,0.7696676540951366,0.42
55,false,0.04,0.04,0.7623684372503504,0.4
55,false,0.04,0.04,0.7340132764493376,0.44
55,false,0.04,0.04,0.7599653627857212,0.42
55,false,0.04,0.04,0.7791778619001106,0.4
55,false,0.04,0.04,0.7659819760947317,0.46
55,false,0.04,0.04,0.7375849580543609,0.42
60,true,0.025,0.02,0.6764361128892885,0.37
60,true,0.025,0.02,0.6620440964539653,0.4
60,true,0.025,0.02,0.6679254782518521,0.32
60,true,0.025,0.02,0.6643052179123452,0.35
60,true,0.025,0.02,0.6740556818381919,0.36
60,true,0.025,0.02,0.6792161949364102,0.31
60,true,0.025,0.02,0.6637259273112044,0.43
60,true,0.025,0.02,0.6729519234569055,0.42
60,true,0.025,0.02,0.6614508611512371,0.41
60,true,0.025,0.02,0.6830950715927461,0.41
60,true,0.025,0.02,0.6931859736318018,0.42
60,true,0.025,0.02,0.6737846663430301,0.31
60,true,0.025,0.02,0.6741675411341587,0.33
60,true,0.025,0.02,0.6720836166741124,0.35
60,true,0.025,0.02,0.6476467369684894,0.4
60,true,0.025,0.02,0.6736989296651658,0.36
60,true,0.025,0.02,0.6547450314266353,0.32
60,true,0.025,0.02,0.6749378723836257,0.39
60,true,0.025,0.02,0.6629216534067643,0.38
60,true,0.025,0.03,0.7207743075212868,0.39
60,true,0.025,0.02,0.6707691627477465,0.43
60,true,0.025,0.03,0.7129391521577649,0.39
60,true,0.025,0.03,0.6982211595812722,0.42
60,true,0.025,0.03,0.702567420427458,0.44
60,true,0.025,0.03,0.7282920597122667,0.39
60,true,0.025,0.03,0.7181881899285207,0.38
60,true,0.025,0.03,0.7211970306485509,0.37
60,true,0.025,0.03,0.7429937232707031,0.37
60,true,0.025,0.03,0.7060981675203621,0.38
60,true,0.025,0.03,0.700460945440481,0.4
60,true,0.025,0.03,0.7410135145746828,0.39
60,true,0.025,0.03,0.7123711587008025,0.38
60,true,0.025,0.03,0.6969386098631591,0.4
60,true,0.025,0.03,0.7241800748252202,0.39
60,true,0.025,0.03,0.7093398247808435,0.39
60,true,0.025,0.03,0.6907059274695396,0.42
60,true,0.025,0.03,0.7128775163760521,0.35
60,true,0.025,0.03,0.7313171197047774,0.33
60,true,0.025,0.03,0.7149213760550449,0.37
60,true,0.025,0.04,0.7634048494985958,0.4
60,true,0.025,0.03,0.7288035214556962,0.42
60,true,0.025,0.04,0.7797140817696067,0.47
60,true,0.025,0.04,0.7156768951620752,0.43
60,true,0.025,0.04,0.771794969938965,0.41
60,true,0.025,0.04,0.768840671900672,0.44
60,true,0.025,0.04,0.7933245079734645,0.48
60,true,0.025,0.04,0.7690293984762475,0.45
60,true,0.025,0.04,0.7683010092240149,0.37
60,true,0.025,0.04,0.7674573996173062,0.47
60,true,0.025,0.04,0.7709047711520803,0.4
60,true,0.025,0.04,0.7882825896914624,0.46
60,true,0.025,0.04,0.7821086834353149,0.47
60,true,0.025,0.04,0.7524437400081264,0.44
60,true,0.025,0.04,0.7821560763484081,0.49
60,true,0.025,0.04,0.7695338314434946,0.5
60,true,0.025,0.04,0.7349344470212946,0.45
60,true,0.025,0.04,0.7851598768999364,0.51
60,true,0.025,0.04,0.7780568922619823,0.43
60,true,0.025,0.04,0.7960889763987383,0.42
60,true,0.025,0.04,0.7925984818950734,0.46
60,true,0.03,0.02,0.6661841385495834,0.38
60,true,0.03,0.02,0.6980788836779471,0.41
60,true,0.03,0.02,0.6889127283134785,0.34
60,true,0.03,0.02,0.6832253223278361,0.37
60,true,0.03,0.02,0.6612668193817374,0.41
60,true,0.03,0.02,0.6834407386811807,0.34
60,true,0.03,0.02,0.6763213557874892,0.35
60,true,0.03,0.02,0.680493511775863,0.3
60,true,0.03,0.02,0.6696870823105153,0.42
60,true,0.03,0.02,0.6843702805552897,0.42
60,true,0.03,0.02,0.6631954132853981,0.29
60,true,0.03,0.02,0.681289782646811,0.35
60,true,0.03,0.02,0.6689246804333898,0.33
60,true,0.03,0.02,0.6557185447992926,0.3
60,true,0.03,0.02,0.6704445043210296,0.47
60,true,0.03,0.02,0.6567247865497182,0.36
60,true,0.03,0.02,0.6511681383087468,0.36
60,true,0.03,0.02,0.6542339178401124,0.35
