school-transportation-cost,traffic-lights?,high-income-percentage,with-school-choice?,alpha,D-segregation,delta-Achievement
10,true,20,true,0.4,0.6044381974614532,0.5537968878783497
10,true,20,true,0.5,0.5123837834855298,0.39414002811047055
10,true,20,true,0.4,0.7010978048196268,0.564252231241789
10,true,20,true,0.4,0.5231783691524013,0.6034599547350528
10,true,20,true,0.5,0.7560468472954469,0.7893566684717745
10,true,20,true,0.5,0.7985791717274351,1.151184736885746
10,true,20,true,0.5,0.7494493601908376,0.8847886779963625
10,true,20,true,0.5,0.6522357350153553,0.8385203857970058
10,true,20,true,0.5,0.5443551797040169,0.177726224841261
10,true,20,true,0.5,0.7074427171888917,1.0451415022993853
10,true,20,true,0.5,0.600728557940133,0.9830375835778087
10,true,20,true,0.5,0.4821143189747697,0.5165908818582761
10,true,20,true,0.5,0.7754672897196261,1.1067065280768968
10,true,20,true,0.5,0.8792379935077548,0.8319895897450733
10,true,20,true,0.5,0.4912591705183519,0.4976080526660178
10,true,20,true,0.5,0.6482371333961207,0.9043855566450985
10,true,20,true,0.5,0.5320237262906244,0.5514801986968445
10,true,20,true,0.5,0.6216140205980043,0.7038374550015485
10,true,20,true,0.5,0.7184862833419258,0.7782175649730636
10,true,20,true,0.5,0.7052153241086937,1.102102979004795
10,true,20,true,0.5,0.7794676806083652,1.3508440681204759
10,true,20,true,0.5,0.7306879674169949,0.922573667413995
10,true,20,true,0.5,0.4534418800253582,0.7167146065408243
10,true,20,true,0.5,0.5997718901724427,0.5921761477841221
10,true,20,true,0.5,0.45471802578501935,0.18345660116390405
10,true,20,true,0.5,0.5400967205063844,0.8057782423423072
10,true,20,true,0.5,0.6916974238024902,0.8735134664078146
10,true,20,true,0.5,0.5516467572070605,0.483156806165594
10,true,20,true,0.5,0.6853838796626379,1.1344173768768409
10,true,20,true,0.5,0.6112543647596026,0.6006618644707373
10,true,20,true,0.5,0.6265196269410279,0.8103510618028622
10,true,20,true,0.5,0.7129963898916968,1.8368623830941084
10,true,20,true,0.5,0.44872502279448634,0.522156209082075
10,true,20,false,0.1,0.193344739684444,-0.011402427917271751
10,true,20,false,0.1,0.16512563427672097,0.09908746737052798
10,true,20,false,0.1,0.18168943944722835,-0.04120600194625812
10,true,20,false,0.1,0.17821313060896282,-0.056201911850711106
10,true,20,false,0.1,0.18537301357403385,-0.08823688965075771
10,true,20,false,0.1,0.1685208431042569,0.018184789347940544
10,true,20,false,0.1,0.18903820684547154,0.1031832846398002
10,true,20,false,0.1,0.16360737979698525,-0.028203698783005215
10,true,20,false,0.1,0.18200210949431622,0.001018422556385623
10,true,20,false,0.1,0.1681014293370366,-0.09600107248130385
10,true,20,false,0.1,0.22063588419561642,0.11313034910671593
10,true,20,false,0.1,0.17878489326765185,0.017667491497603827
10,true,20,false,0.1,0.16631111736252738,0.0724740556469543
10,true,20,false,0.1,0.18541946239292484,0.029701705529361355
10,true,20,false,0.1,0.18969555035128804,-0.051796058937259915
