academic-mobility-radius,Satisfaction_threshold,Base_Salary,Sch_Quality_Variation,total-teachers,teacher-turnover-rate,mean-school-vacancy-rate,satisfaction-inequality,mean-satisfaction-poor-schools,mean-satisfaction-good-schools,unemployment-rate,mean-satisfaction-all
5,0.1,4000,0.5,862,0.48823529411764705,0.8866666666666667,0.16749722637177406,0,0.8479910714285738,0,0.6967904098994595
5,0.1,4000,0.7,806,0.49529411764705883,0.8946666666666666,0.16721542716028284,0,0.8466382978723443,0,0.7182092638544252
5,0.1,4000,0.7,847,0.4894117647058824,0.8866666666666667,0.17666129476052964,0,0.8416046511627949,0,0.6870877607241274
5,0.1,4000,0.7,861,0.48,0.8866666666666667,0.16527874478304197,0,0.8297938144329937,0,0.6661943476577638
5,0.1,4000,0.7,900,0.47411764705882353,0.8813333333333334,0.17429318622368503,0,0.8405567451820165,0,0.6827074074074098
5,0.1,4000,0.7,845,0.47294117647058825,0.8873333333333335,0.188374140720283,0,0.8650000000000032,0,0.6814832347140065
5,0.1,4000,0.7,825,0.48,0.8933333333333333,0.16749809749324088,0,0.8313669064748231,0,0.6816808080808107
5,0.1,4000,0.7,863,0.4811764705882353,0.8873333333333335,0.18908436873370088,0,0.8615456674473104,0,0.6828775589030518
5,0.1,4000,0.7,864,0.4776470588235294,0.8866666666666667,0.1680137522797145,0,0.8265243902439062,0,0.6933449074074103
5,0.1,5000,0.1,860,0.4988235294117647,0.9553333333333334,0.18142506314258408,0.29700598802395217,0.7849093444909357,0.002325581395348837,0.5450738150738131
5,0.1,5000,0.1,882,0.46705882352941175,0.9660000000000004,0.20520275758144804,0.29264227642276425,0.7667830687830689,0.003401360544217687,0.5473530527114134
5,0.1,5000,0.1,855,0.49411764705882355,0.9359999999999998,0.19018717843680807,0.2911688311688313,0.7709029779058586,0.0023391812865497076,0.5858577569363014
5,0.1,5000,0.1,900,0.46352941176470586,0.9219999999999999,0.1778375587668082,0.32492753623188414,0.7567519545131471,0.0022222222222222222,0.6127988121752042
5,0.1,5000,0.1,836,0.47294117647058825,0.9633333333333334,0.1943466430514314,0.3037804878048783,0.7437888888888895,0.004784688995215311,0.5402163461538436
5,0.1,5000,0.1,855,0.4776470588235294,0.9353333333333332,0.18669785329731747,0.31553672316384185,0.7601475694444418,0.0023391812865497076,0.5870300898788589
5,0.1,5000,0.1,876,0.46941176470588236,0.9666666666666665,0.20751942738673623,0.2969498069498068,0.7971794871794878,0.0045662100456621,0.5328096330275232
5,0.1,5000,0.1,845,0.5164705882352941,0.9433333333333331,0.20038329717561024,0.31544186046511624,0.7722456140350875,0.0035502958579881655,0.5729493269992071
5,0.1,5000,0.1,859,0.46,0.9753333333333334,0.20184918746723673,0.29287128712871247,0.7618063314711365,0.0034924330616996507,0.5704244548286577
5,0.1,5000,0.3,848,0.49411764705882355,0.9620000000000001,0.2854802255575209,0.13642276422764216,0.8493442622950852,0.003537735849056604,0.5504299802761347
5,0.1,5000,0.3,887,0.49176470588235294,0.9800000000000004,0.29650593081090726,0.14045407636738927,0.820447761194032,0.006764374295377677,0.4813204691638293
5,0.1,5000,0.3,856,0.48705882352941177,0.9626666666666661,0.2560389518520445,0.18137254901960795,0.8392150170648496,0.0035046728971962616,0.5573036342321237
5,0.1,5000,0.3,832,0.5058823529411764,0.9620000000000001,0.2546525556087473,0.16788838612368018,0.8192748091603074,0.004807692307692308,0.5172342995169096
5,0.1,5000,0.1,843,0.5047058823529412,0.9486666666666669,0.1883506991817769,0.2780645161290324,0.7456551724137915,0.002372479240806643,0.6035473642489065
5,0.1,5000,0.3,861,0.4647058823529412,0.9913333333333334,0.3159819676870044,0.1213502109704639,0.8714655172413809,0.004645760743321719,0.558611435239207
