neighborhood-range,tolerance,init-sd,enable-movement?,responsiveness,polarization,moran-i-ideology
4,0.1,0.2,true,0.25,0.15503045837988952,1.034571103559983
4,0.05,0.2,true,0.25,0.18762421209575722,1.025816063502701
4,0.15,0.2,true,0.25,0.10501649654018529,1.0507595994460888
4,0.1,0.2,true,0.25,0.15560606012655806,1.0313727596807296
4,0.05,0.2,true,0.25,0.18854510780421121,1.034911500477751
4,0.15,0.2,true,0.25,0.10496013452664218,1.0414018431599559
4,0.1,0.2,true,0.25,0.15622480990258225,1.0336430673028292
4,0.15,0.2,true,0.25,0.10497110562157554,1.0558158961637105
4,0.05,0.2,true,0.25,0.18928408374390812,1.0313503515426001
4,0.1,0.2,true,0.25,0.15718952082147206,1.0243849394022104
4,0.05,0.2,true,0.25,0.19033471721602355,1.0380655877093932
4,0.15,0.2,true,0.25,0.10505899093043779,1.0567587921195252
4,0.05,0.2,true,0.25,0.19127445545319918,1.0325935663622148
4,0.1,0.2,true,0.25,0.1577214629095309,1.0227085106727576
4,0.15,0.2,true,0.25,0.10511320781860745,1.0557793472798231
4,0.05,0.2,true,0.25,0.19245603102716932,1.0459038848878648
4,0.1,0.2,true,0.25,0.15854677329168868,1.0168849260928352
4,0.15,0.2,true,0.25,0.10516685033881021,1.055424734093994
4,0.05,0.2,true,0.25,0.1933867851483508,1.040292535012243
4,0.1,0.2,true,0.25,0.15922741780477023,1.0265377410580232
4,0.15,0.2,true,0.25,0.10513378234494472,1.0489553963467029
4,0.05,0.2,true,0.25,0.19428843141767632,1.0380196881235075
4,0.15,0.2,true,0.25,0.10522386179929079,1.0480142303091444
4,0.1,0.2,true,0.25,0.16010019554800947,1.0241439567601074
4,0.05,0.2,true,0.25,0.19545656122636448,1.0432260038877974
4,0.15,0.2,true,0.25,0.10517386469055982,1.0459159262239799
4,0.1,0.2,true,0.25,0.16076567487349472,1.033793730086236
4,0.05,0.2,true,0.25,0.19649595628770594,1.041795469370682
4,0.15,0.2,true,0.25,0.1052553303103078,1.0331608803855248
4,0.1,0.2,true,0.25,0.1616793548263831,1.0388959788880572
4,0.15,0.2,true,0.25,0.10535089794171794,1.0358950599065824
4,0.05,0.2,true,0.25,0.19723198177711526,1.0377658274891544
4,0.1,0.2,true,0.25,0.16237958149214549,1.0327465805533698
4,0.15,0.2,true,0.25,0.10541397585617063,1.0372178639679008
4,0.05,0.2,true,0.25,0.19802867741100147,1.043427351613874
4,0.1,0.2,true,0.25,0.1629594520033828,1.0372456574899163
4,0.15,0.2,true,0.25,0.10540788089065867,1.0440280353160405
4,0.05,0.2,true,0.25,0.1991766878101212,1.044076048286243
4,0.1,0.2,true,0.25,0.16342636115889564,1.028421606477321
4,0.15,0.2,true,0.25,0.10542940455238935,1.045459399145409
4,0.05,0.2,true,0.25,0.20017542047678466,1.048748802082803
4,0.1,0.2,true,0.25,0.16422118696720864,1.0291295527265791
4,0.15,0.2,true,0.25,0.10546017279512504,1.048477827462016
4,0.05,0.2,true,0.25,0.20075024305051906,1.0300440435011806
4,0.1,0.2,true,0.25,0.16508436887507533,1.0156503727968904
4,0.15,0.2,true,0.25,0.10547205142430571,1.0433139285959043
4,0.05,0.2,true,0.25,0.20170120528802768,1.0327038395939774
4,0.1,0.2,true,0.25,0.16543641237915582,1.02435270667967
4,0.15,0.2,true,0.25,0.10547576224863413,1.0419067132799158
4,0.05,0.2,true,0.25,0.20273529944879015,1.0353124904312208
4,0.15,0.2,true,0.25,0.10540803470687544,1.0532472848120624
4,0.1,0.2,true,0.25,0.16598674908778613,1.02806229310304
4,0.05,0.2,true,0.25,0.20327208393394006,1.0409369692063564
4,0.15,0.2,true,0.25,0.10555782488427311,1.0519747239137927
4,0.1,0.2,true,0.25,0.16633924241161557,1.0428231451859808
4,0.05,0.2,true,0.25,0.20388845485729787,1.042641087538279
4,0.15,0.2,true,0.25,0.10568663077424036,1.0516491568934903
4,0.1,0.2,true,0.25,0.16698998242912422,1.034992408885058
4,0.05,0.2,true,0.25,0.20452217917590162,1.040835238637365
4,0.15,0.2,true,0.25,0.10567078074094223,1.0586885819367793
