pinch-chance,pinch-time,super-level,step,avg-super-score,avg-normal-score,gap-super-normal,avg-super-score_effect_diff,avg-normal-score_effect_diff
0.1,5,low,7,43.470334168755215,125.15733739684983,-81.68700322809458,15.270334168755221,37.26544550495788
0.1,5,high,8,176.942091503268,125.68071189321186,51.261379610056125,49.24209150326797,33.9960272085272
0.1,5,low,7,38.59166666666666,129.92782275282275,-91.33615608615611,12.491666666666665,37.06746239246238
0.1,5,high,8,176.26970085470086,114.97940261740567,61.29029823729513,59.81970085470086,33.060483698486806
0.1,0,low,10,109.61500000000001,193.276271995351,-83.66127199535092,10.015,36.94293866201761
0.1,5,high,9,209.6178571428571,138.1052068045489,71.51265033830819,58.56785714285714,32.695296894638986
0.1,5,high,9,203.0813157894737,124.34608788610338,78.73522790337036,59.081315789473685,33.07131311132859
0.1,5,low,7,45.08954545454545,117.13396891686364,-72.0444234623182,18.389545454545452,37.08441936731411
0.1,5,high,8,153.48833333333332,124.00008535008534,29.488247983247987,38.388333333333335,35.22080607080607
0.1,5,low,8,48.42684210526316,133.83423677107885,-85.40739466581569,11.226842105263156,36.843245780087884
0.1,5,low,8,42.406111111111116,139.83931160583637,-97.43320049472523,13.306111111111113,37.879852146376926
0.1,5,high,9,188.57623376623377,134.3578951765484,54.218338589685374,50.87623376623377,33.66420148285474
0.1,5,high,9,181.49411764705883,122.76781328031329,58.72630436674555,55.044117647058826,32.3804258929259
0.1,0,low,11,115.98452380952381,202.15778797175852,-86.17326416223463,8.384523809523808,37.08571589968647
0.1,5,high,10,222.1238888888889,148.34491557912608,73.77897330976282,61.07388888888888,34.46653720074772
0.1,5,high,10,213.73555555555558,133.0909641389518,80.64459141660384,59.735555555555564,32.98736053534815
0.1,5,low,8,46.95287878787879,125.23463151682965,-78.28175272895086,13.25287878787879,36.536433318631474
0.1,5,high,9,163.8262393162393,134.2755810834758,29.55065823276351,38.72623931623932,36.757563065457795
0.1,5,low,9,58.42833333333333,141.79546095923808,-83.3671276259047,11.228333333333335,35.97564113941823
0.1,5,high,10,197.77090909090913,143.78884158373322,53.98206750717594,50.07090909090908,34.08613888103051
0.1,5,low,9,50.85333333333333,149.49691455937582,-98.6435812260425,13.753333333333334,38.438356000817315
0.1,5,high,10,192.4230753968254,132.12617953535135,60.29689586147404,55.9730753968254,32.819873229045065
0.1,0,low,12,122.74000000000001,210.92652234455647,-88.18652234455638,8.14,37.566161984196036
0.1,5,high,11,226.23368421052632,141.25734776102425,84.97633644950207,62.23368421052633,32.77536577904225
0.1,5,high,11,230.8768382352941,156.34239349897246,74.53444473632163,59.82683823529411,33.63518629176523
0.1,5,low,9,53.809282296650714,134.9920017589135,-81.18271946226278,14.109282296650719,37.19470446161624
0.1,5,high,10,171.47785714285715,140.49997123944493,30.977885903412215,36.377857142857145,34.87384511331879
0.1,5,high,11,209.65993006993008,152.52488931041563,57.13504075951445,51.95993006993008,33.903267688794
0.1,5,low,10,62.75,151.53759411127828,-88.78759411127828,11.55,36.618675192359404
